;;;;;;;;;;
NO;F˜ž/FATURA ADI;TAR˜H;TUTAR;KDV;GEN.TOP.;HARCAMA;HARCAMA C˜NS˜;A€IKLAMA;D™NEM;D™KšLEN BETON
405;NOVA LTD;2.08.2019;40,68   ;7,32   ;48,00   ;MALZEME;HIRDAVAT;YAPIžTIRICI-KALIP CONTA ˜€˜N 1,5 KG;A§u.19;
406;BMS GEORG˜A YAPI LTD;2.08.2019;72,71   ;13,09   ;85,80   ;MALZEME;HIRDAVAT;YAPIžTIRICI-KALIP CONTA ˜€˜N 2,5 KG;A§u.19;
407;BA€ANA LTD;3.08.2019;11,90   ;0,00   ;11,90   ;D˜¦ER G˜DERLER;SA¦LIK;ECZA DOLABINA ˜LK YRD. MALZEMES˜;A§u.19;
408;BROTHERS LTD;3.08.2019;36,00   ;0,00   ;36,00   ;D˜¦ER G˜DERLER;SA¦LIK;MAH˜R SEV˜ML˜ MUAYENE šCRET˜-PARMAK EZ˜LD˜;A§u.19;
409;V˜TA-MED˜ LTD;3.08.2019;19,70   ;0,00   ;19,70   ;D˜¦ER G˜DERLER;SA¦LIK;MAH˜R SEV˜ML˜ ˜LA€;A§u.19;
410;DAV˜T TAK˜DZE;4.08.2019;400,00   ;0,00   ;400,00   ;LOJMAN;K˜RA BEDEL˜;2. LOJMAN K˜RASI;A§u.19;
411;TORN˜KE CHOGADZE;5.08.2019;20,00   ;0,00   ;20,00   ;D˜¦ER G˜DERLER;D˜¦ER;žARJ C˜HAZI (BAHATT˜N ž˜RKET TELF);A§u.19;
412;NAZILBE LTD;5.08.2019;148,99   ;26,82   ;175,81   ;D˜¦ER G˜DERLER;GIDA/TEM.MLZ;€AY 2,žEKER 5, BARDAK 3000,SABUN, BLžK DET 4,€™P PžT, KšRDAN 6, C˜F 1, SU 9;A§u.19;
413;E-2010 LTD;7.08.2019;41,86   ;7,54   ;49,40   ;KIRTAS˜YE;KIRTAS˜YE;KLAS™R 6, PžT DOSYA 100, MARK™R 3, A4-2;A§u.19;
414;MAGT˜ COM;5.08.2019;6,00   ;0,00   ;6,00   ;˜LET˜ž˜M;˜NTERNET;591401250 EREN BEY HATTINA 1 GB ˜NT. YšKLEME;A§u.19;
415;LUGAS˜ LTD;13.08.2019;15,00   ;0,00   ;15,00   ;D˜¦ER G˜DERLER;K™MšR;K™MšR 1 TORBA;A§u.19;
416;LUGAS˜ LTD;13.08.2019;17,00   ;0,00   ;17,00   ;D˜¦ER G˜DERLER;K™MšR;K™MšR 1 TORBA;A§u.19;
417;TSULU LTD;13.08.2019;15,30   ;0,00   ;15,30   ;D˜¦ER G˜DERLER;GIDA/TEM.MLZ;PERSONELE MEžRUBAT 6 AD;A§u.19;
418;TSULU LTD;13.08.2019;10,20   ;0,00   ;10,20   ;D˜¦ER G˜DERLER;GIDA/TEM.MLZ;PERSONELE MEžRUBAT 4 AD;A§u.19;
419;M˜KHE˜L žANTADZE;13.08.2019;20,00   ;0,00   ;20,00   ;MALZEME;ZšCACC˜YE;SATIR 1 AD;A§u.19;
420;YAL€IN MARKET;13.08.2019;53,18   ;9,57   ;62,75   ;D˜¦ER G˜DERLER;GIDA/TEM.MLZ;€AY 3, K˜MYON;A§u.19;
421;NAZILBE LTD;13.08.2019;21,91   ;3,94   ;25,85   ;D˜¦ER G˜DERLER;GIDA/TEM.MLZ;SU 6, BI€AK, K˜BR˜T;A§u.19;
422;TURSA LTD;13.08.2019;19,07   ;3,43   ;22,50   ;D˜¦ER G˜DERLER;GIDA/TEM.MLZ;IZGARA 3 AD;A§u.19;
423;S˜LKNET LTD;12.08.2019;35,00   ;0,00   ;35,00   ;LOJMAN;˜NTERNET;LOJMAN 1 ˜NTERNET VE TV TEMMUZ 2019;A§u.19;
424;SOCAR PETROL;13.08.2019;20,00   ;0,00   ;20,00   ;LOJMAN;DO¦ALGAZ;LOJMAN 1 D. GAZ BED. TEMMUZ 2019;A§u.19;
425;ENERGO PRO LTD;13.08.2019;25,00   ;0,00   ;25,00   ;LOJMAN;ELEKTR˜K;LOJMAN 1 ELEKTR˜K BED. TEMMUZ 2019;A§u.19;
426;ENERGO PRO LTD;13.08.2019;40,00   ;0,00   ;40,00   ;LOJMAN;ELEKTR˜K;LOJMAN 2 ELEKTR˜K BED. TEMMUZ 2019;A§u.19;
427;MAR˜ 2015 LTD;14.08.2019;11,44   ;2,06   ;13,50   ;D˜¦ER G˜DERLER;ZšCACC˜YE;TAHTA €AY KARIžTIRICI 3 AD;A§u.19;
428;BANK OF GEORGIA;16.07.2019;5,02   ;0,00   ;5,02   ;BANKA MASRAF;EFT MASRAF;BANKA MASRAF.VERG˜ DA˜RES˜ EFT šCRET˜;Tem.19;
429;BANK OF GEORGIA;16.07.2019;2,80   ;0,00   ;2,80   ;BANKA MASRAF;D˜¦ER;BANKA MASRAF.NAK˜T €EK˜M KOM˜SYONU;Tem.19;
430;BANK OF GEORGIA;19.07.2019;1,00   ;0,00   ;1,00   ;BANKA MASRAF;D˜¦ER;SMS B˜LD˜R˜M šCRET˜;Tem.19;
431;BANK OF GEORGIA;25.07.2019;20,00   ;0,00   ;20,00   ;BANKA MASRAF;D˜¦ER;BANKA MASRAF.BANKAMAT˜K KARTI TALEP šCRET˜;Tem.19;
432;BANK OF GEORGIA;25.07.2019;14,00   ;0,00   ;14,00   ;BANKA MASRAF;D˜¦ER;BANKA MASRAF.NAK˜T €EK˜M KOM˜SYONU;Tem.19;
433;BANK OF GEORGIA;29.07.2019;1,00   ;0,00   ;1,00   ;BANKA MASRAF;EFT MASRAF;BANKA MASRAF.SULKHAN KHOZREVANIDZE TORNACI;Tem.19;
434;BANK OF GEORGIA;31.07.2019;4,00   ;0,00   ;4,00   ;BANKA MASRAF;D˜¦ER;BANKA MASRAF.NAK˜T €EK˜M KOM˜SYONU;Tem.19;
435;BANK OF GEORGIA;31.07.2019;1,00   ;0,00   ;1,00   ;BANKA MASRAF;EFT MASRAF;BANKA MASRAF.NANA FUTKARADZE.MOTOR SARIM šCRET˜;Tem.19;
436;BES ™DEMES˜. ˜ž€˜ VE ˜ž VEREN;25.07.2019;505,54   ;0,00   ;505,54   ;˜ž€˜L˜K;BES;HAZ˜RAN 2019 ˜ž€˜L˜KLERE A˜T  ˜ž€˜+ ˜žVEREN BES PAYLARI;Haz.19;
437;BS METAL GRUP;12.06.2019;18,76   ;3,37   ;22,14   ;MALZEME;HIRDAVAT;EL ARABA M˜L˜+EL ARABA TEKER˜+P˜L+˜NCE KALEM P˜L;Haz.19;
438;BS METAL GRUP;13.06.2019;11,91   ;2,14   ;14,04   ;MALZEME;HIRDAVAT;SAC KESME MAKASI;Haz.19;
439;BS METAL GRUP;19.06.2019;7,20   ;1,30   ;8,50   ;MALZEME;HIRDAVAT;BEYAZ BARET ˜PL˜;Haz.19;
440;BS METAL GRUP;19.06.2019;55,50   ;9,99   ;65,49   ;MALZEME;HIRDAVAT;FIR€A SAPI+€EKPAS+AMPUL+OTO FIR€A;Haz.19;
441;BS METAL GRUP;22.06.2019;32,81   ;5,91   ;38,72   ;MALZEME;HIRDAVAT;C˜VATA 8 ADET + ˜ž AYAKKABISI;Haz.19;
442;BS METAL GRUP;29.06.2019;34,88   ;6,28   ;41,16   ;MALZEME;HIRDAVAT;WC FIR€ASI+€EKPAS+KOVA+KAYNAK MASKES˜;Haz.19;
443;BS METAL GRUP;30.06.2019;20,34   ;3,66   ;24,00   ;MALZEME;HIRDAVAT;S˜LME TAžI;Haz.19;
444;˜NOKS LTD;13.06.2019;84,75   ;15,25   ;100,00   ;MALZEME;HIRDAVAT;AMPERMETRE+C˜VATA+YAN KESK˜ + PENSE;Haz.19;
445;˜NOKS LTD;13.06.2019;36,44   ;6,56   ;43,00   ;MALZEME;HIRDAVAT;BARET+KAPI KOLU+K˜L˜T;Haz.19;
446;˜NOKS LTD;15.06.2019;6,78   ;1,22   ;8,00   ;MALZEME;HIRDAVAT;ELEKTR˜K ˜ZOLE BANT;Haz.19;
447;˜NOKS LTD;15.06.2019;67,80   ;12,20   ;80,00   ;MALZEME;HIRDAVAT;K˜L˜T+MENTEžE+€ATI V˜DASI;Haz.19;
448;˜NOKS LTD;17.06.2019;16,95   ;3,05   ;20,00   ;MALZEME;HIRDAVAT;POL˜šRETAN K™PšK + KOL˜ BANDI;Haz.19;
449;˜NOKS LTD;22.06.2019;33,90   ;6,10   ;40,00   ;MALZEME;HIRDAVAT;˜ž AYAKKABISI;Haz.19;
450;˜NOKS LTD;21.06.2019;39,83   ;7,17   ;47,00   ;MALZEME;HIRDAVAT;KESER SAPI+KESER +28 L˜K ANAHTAR;Haz.19;
451;˜NOKS LTD;21.06.2019;77,12   ;13,88   ;91,00   ;MALZEME;HIRDAVAT;˜ž AYAKKABISI+1,5 K¦ €EK˜€  + 2 K¦ €EK˜€;Haz.19;
452;˜NOKS LTD;21.06.2019;16,95   ;3,05   ;20,00   ;MALZEME;HIRDAVAT;€ANAK FIR€A + €ANAK;Haz.19;
453;˜NOKS LTD;24.06.2019;156,78   ;28,22   ;185,00   ;MALZEME;HIRDAVAT;EL FENER˜+ELEKTR˜K BANDI+€IRPI ˜P˜+š€Lš PR˜Z;Haz.19;
454;˜NOKS LTD;22.06.2019;12,71   ;2,29   ;15,00   ;MALZEME;HIRDAVAT;5 MT-L˜K žER˜T METRE;Haz.19;
455;˜NOKS LTD;25.06.2019;177,97   ;32,03   ;210,00   ;MALZEME;HIRDAVAT;€™P KOVASI+FIR€A+˜ž AYAKKABISI+S˜LME TAžI;Haz.19;
456;˜NOKS LTD;26.06.2019;256,78   ;46,22   ;303,00   ;MALZEME;HIRDAVAT;€EL˜K DšBEL-YELEK-AYAKKABI-BARET;Haz.19;
457;˜NOKS LTD;27.06.2019;80,93   ;14,57   ;95,50   ;MALZEME;HIRDAVAT;€ANAK FIR€A+AL€I MALASI+SPATULA;Haz.19;
458;˜NOKS LTD;27.06.2019;93,22   ;16,78   ;110,00   ;MALZEME;HIRDAVAT;MUTFAK EVYES˜;Haz.19;
459;˜NOKS LTD;22.06.2019;33,90   ;6,10   ;40,00   ;MALZEME;HIRDAVAT;˜ž AYAKKABISI;Haz.19;
460;BS METAL GRUP;29.06.2019;974,75   ;175,45   ;1.150,20   ;MALZEME;HIRDAVAT;40*60*3MM PROF˜L  20 BOY   6 MT-L˜K;Haz.19;
461;˜NOKS LTD;23.05.2019;5,93   ;1,07   ;7,00   ;MALZEME;HIRDAVAT;KLEMENS- 10 VE 12 L˜K;Haz.19;
462;VERG˜ DA˜RES˜ ;30.06.2019;8.259,22   ;0,00   ;8.259,22   ;VERG˜/HAR€;˜ž€˜ VERG˜S˜-MUHTASAR;˜ž€˜ VERG˜S˜-MUHTASAR. HAZ˜RAN 2019;Haz.19;
463;NET SERV˜CE LTD;1.08.2019;44,38   ;0,00   ;44,38   ;˜LET˜ž˜M;˜NTERNET;TEMMUZ ˜NTERNET BEDEL˜.27 GšN;A§u.19;
464;BANK OF GEORGIA;1.08.2019;5,68   ;0,00   ;5,68   ;BANKA MASRAF;EFT MASRAF;BANKA MASRAF.CETO LOJ˜ST˜K;A§u.19;
465;BANK OF GEORGIA;1.08.2019;1,00   ;0,00   ;1,00   ;BANKA MASRAF;EFT MASRAF;BANKA MASRAF.NETSERV˜S-OF˜S ˜NTERNET;A§u.19;
466;BANK OF GEORGIA;2.08.2019;8,00   ;0,00   ;8,00   ;BANKA MASRAF;D˜¦ER;BANKA MASRAF.NAK˜T €EK˜M KOM˜SYONU;A§u.19;
467;BANK OF GEORGIA;6.08.2019;10,00   ;0,00   ;10,00   ;BANKA MASRAF;D˜¦ER;BANKA MASRAF.NAK˜T €EK˜M KOM˜SYONU;A§u.19;
468;BANK OF GEORGIA;6.08.2019;1,00   ;0,00   ;1,00   ;BANKA MASRAF;D˜¦ER;BANKA MASRAF.NAK˜T €EK˜M KOM˜SYONU;A§u.19;
469;BANK OF GEORGIA;9.08.2019;22,00   ;0,00   ;22,00   ;BANKA MASRAF;D˜¦ER;BANKA MASRAF.NAK˜T €EK˜M KOM˜SYONU;A§u.19;
470;BANK OF GEORGIA;15.08.2019;5,00   ;0,00   ;5,00   ;BANKA MASRAF;D˜¦ER;BANKA MASRAF.NAK˜T €EK˜M KOM˜SYONU;A§u.19;
471;BANK OF GEORGIA;15.08.2019;5,00   ;0,00   ;5,00   ;BANKA MASRAF;D˜¦ER;BANKA MASRAF.NAK˜T €EK˜M KOM˜SYONU;A§u.19;
472;BANK OF GEORGIA;15.08.2019;5,00   ;0,00   ;5,00   ;BANKA MASRAF;D˜¦ER;BANKA MASRAF.NAK˜T €EK˜M KOM˜SYONU;A§u.19;
473;BANK OF GEORGIA;15.08.2019;14,30   ;0,00   ;14,30   ;BANKA MASRAF;D˜¦ER;BANKA MASRAF.NAK˜T €EK˜M KOM˜SYONU;A§u.19;
474;BANK OF GEORGIA;16.08.2019;5,00   ;0,00   ;5,00   ;BANKA MASRAF;D˜¦ER;BANKA MASRAF.NAK˜T €EK˜M KOM˜SYONU;A§u.19;
475;BANK OF GEORGIA;16.08.2019;5,00   ;0,00   ;5,00   ;BANKA MASRAF;D˜¦ER;BANKA MASRAF.NAK˜T €EK˜M KOM˜SYONU;A§u.19;
476;BANK OF GEORGIA;16.08.2019;5,00   ;0,00   ;5,00   ;BANKA MASRAF;D˜¦ER;BANKA MASRAF.NAK˜T €EK˜M KOM˜SYONU;A§u.19;
477;BANK OF GEORGIA;16.08.2019;5,00   ;0,00   ;5,00   ;BANKA MASRAF;D˜¦ER;BANKA MASRAF.NAK˜T €EK˜M KOM˜SYONU;A§u.19;
478;BANK OF GEORGIA;20.08.2019;45,62   ;0,00   ;45,62   ;BANKA MASRAF;EFT MASRAF;BANKA MASRAF.VERG˜ DA˜RES˜ EFT šCRET˜;A§u.19;
479;BANK OF GEORGIA;20.08.2019;1,00   ;0,00   ;1,00   ;BANKA MASRAF;EFT MASRAF;BANKA MASRAF.MAGT˜ GSM;A§u.19;
480;BANK OF GEORGIA;21.08.2019;4,80   ;0,00   ;4,80   ;BANKA MASRAF;D˜¦ER;BANKA MASRAF.NAK˜T €EK˜M KOM˜SYONU;A§u.19;
481;BES ™DEMES˜. ˜ž€˜ VE ˜ž VEREN;20.08.2019;1.485,38   ;0,00   ;1.485,38   ;˜ž€˜L˜K;BES;TEMMUZ  2019 ˜ž€˜L˜KLERE A˜T  ˜ž€˜+ ˜žVEREN BES PAYLARI;Tem.19;
482;NETWORK GLOBAL LOJ˜ST˜K A.ž.;31.08.2019;63.627,12   ;0,00   ;63.627,12   ;NAKL˜YE;NAKL˜YE;21.600 $ =  D˜LOVASI-BATUM LANCH˜NG NAKL˜YE 2.700 USD *8 TIR * 2.9457 LAR˜;A§u.19;
483;CETO LOGISTIK LTD GEORGIA;5.09.2019;10.084,40   ;0,00   ;10.084,40   ;NAKL˜YE;NAKL˜YE;3.400$ =D˜LOVASI-BATUM LANCH˜NG NAKL˜YE  1.700$*2 TIR *2.9660;Eyl.19;
484;EFE TIR LTD;5.09.2019;5.042,20   ;0,00   ;5.042,20   ;NAKL˜YE;NAKL˜YE;1.700$ =D˜LOVASI-BATUM LANCH˜NG NAKL˜YE  1.700$*1 TIR *2.9660;Eyl.19;
485;TRABZON METRO TUR˜ZM T˜CARET SEYAHAT LTD.žT˜.;3.09.2019;15.991,56   ;0,00   ;15.991,56   ;NAKL˜YE;NAKL˜YE;5.400$ =D˜LOVASI-BATUM LANCH˜NG NAKL˜YE  1.800$*3 TIR *2.9614;Eyl.19;
486;BS METAL GRUP;3.07.2019;415,22   ;74,74   ;489,96   ;MALZEME;HIRDAVAT;15 LAR˜ NAKL˜YE + KUTU PROF˜L 40X40X2MM      40X60 X 2MM;Tem.19;
487;BS METAL GRUP;14.07.2019;32,41   ;5,83   ;38,24   ;MALZEME;HIRDAVAT;DEM˜R DEL˜C˜ U€  6 LIK VE 12 L˜K;Tem.19;
488;BS METAL GRUP;16.07.2019;16,95   ;3,05   ;20,00   ;MALZEME;HIRDAVAT;AHžAP DEL˜C˜ U€;Tem.19;
489;BS METAL GRUP;16.07.2019;547,12   ;98,48   ;645,60   ;MALZEME;HIRDAVAT;15 LAR˜ NAKL˜YE+ KUTU PROF˜L 40*60*3 MM;Tem.19;
490;˜NOKS LTD;1.07.2019;51,70   ;9,30   ;61,00   ;MALZEME;HIRDAVAT;KESME TAžI;Haz.19;
491;˜NOKS LTD;1.07.2019;80,51   ;14,49   ;95,00   ;MALZEME;HIRDAVAT;SP˜RAL TAžI + GRES YA¦I+ S˜LME TAžI + €EK˜€;Tem.19;
492;˜NOKS LTD;2.07.2019;352,54   ;63,46   ;416,00   ;MALZEME;HIRDAVAT;BRANDA+SPREY BOYA + ANAHTAR+LOKMA;Tem.19;
493;˜NOKS LTD;3.07.2019;172,88   ;31,12   ;204,00   ;MALZEME;HIRDAVAT;€EK˜€-˜ž AYAKKABISI+ZIMPARA;Tem.19;
494;˜NOKS LTD;3.07.2019;222,88   ;40,12   ;263,00   ;MALZEME;HIRDAVAT;YA¦MURLUK-TOZ MASKES˜ - €ANAK FIR€A;Tem.19;
495;˜NOKS LTD;3.07.2019;101,69   ;18,31   ;120,00   ;MALZEME;HIRDAVAT;€EKPAS - ˜ž AYAKKABISI - ALMAN KAZMASI;Tem.19;
496;˜NOKS LTD;5.07.2019;288,14   ;51,86   ;340,00   ;MALZEME;HIRDAVAT;3 CM FIR€A -  ˜ž AYAKKABI - HAR€ MAK˜NASI KOVA - BARET;Tem.19;
497;˜NOKS LTD;6.07.2019;72,03   ;12,97   ;85,00   ;MALZEME;HIRDAVAT;SAC V˜DASI -  OF˜S VE SOYUNMA ODASI ˜€˜N;Tem.19;
498;˜NOKS LTD;8.07.2019;105,93   ;19,07   ;125,00   ;MALZEME;HIRDAVAT;˜ž AYAKKABISI - SPREY BOYA - TOZ MASKES˜ - G™ZLšK;Tem.19;
499;˜NOKS LTD;9.07.2019;135,59   ;24,41   ;160,00   ;MALZEME;HIRDAVAT;˜ž AYAKKABISI;Tem.19;
500;˜NOKS LTD;11.07.2019;518,64   ;93,36   ;612,00   ;MALZEME;HIRDAVAT;˜ž AYAKKABISI - BARET - YELEK;Tem.19;
501;˜NOKS LTD;15.07.2019;268,22   ;48,28   ;316,50   ;MALZEME;HIRDAVAT;SPREY BOYA-PAS A€ICI - ARA€ FIRSASI - SAPI;Tem.19;
502;˜NOKS LTD;16.07.2019;119,07   ;21,43   ;140,50   ;MALZEME;ELEKTR˜K MALZEME;KABLO 2*2,5 ;Tem.19;
503;˜NOKS LTD;17.07.2019;69,49   ;12,51   ;82,00   ;MALZEME;ELEKTR˜K MALZEME;36 KOMB˜NE ANAHTAR - TR˜FAZE 3 Lš PR˜Z;Tem.19;
504;˜NOKS LTD;18.07.2019;72,03   ;12,97   ;85,00   ;MALZEME;ELEKTR˜K MALZEME;DEM˜R BšKME ANAHTARI 14 LšK;Tem.19;
505;˜NOKS LTD;18.07.2019;947,46   ;170,54   ;1.118,00   ;MALZEME;HIRDAVAT;SIRT POMPASI žARJLI - ˜ž AYAKKABISI - ELD˜VEN - YELEK;Tem.19;
506;˜NOKS LTD;19.07.2019;332,20   ;59,80   ;392,00   ;MALZEME;HIRDAVAT;YA¦MURLUK  - ˜ž AYAKKABISI;Tem.19;
507;˜NOKS LTD;26.07.2019;46,19   ;8,31   ;54,50   ;MALZEME;HIRDAVAT;žER˜T METRE 3 MT'L˜K  - C˜VATA - L DEM˜R -SAC MAKASI;Tem.19;
508;˜NOKS LTD;27.07.2019;1.177,12   ;211,88   ;1.389,00   ;MALZEME;HIRDAVAT;ELEKTROT-BARET-EL ARABASI-ANAHTAR;Tem.19;
509;˜NOKS LTD;27.07.2019;16,95   ;3,05   ;20,00   ;MALZEME;HIRDAVAT;ELEKTR˜K BANDI;Tem.19;
510;MAGT˜ COM;9.08.2019;2,12   ;0,38   ;2,50   ;˜LET˜ž˜M;˜NTERNET;˜€ ˜žLER˜ BAKANLI¦I 112 SMS B˜LD˜R˜M;A§u.19;
511;MAGT˜ COM;7.08.2019;147,88   ;26,62   ;174,50   ;˜LET˜ž˜M;˜NTERNET;TELEFON H˜ZMET˜;A§u.19;
512;VERG˜ DA˜RES˜ ;30.07.2019;0,00   ;65.167,10   ;65.167,10   ;VERG˜/HAR€;KDV-1;KDV.TEMMUZ 2019;Tem.19;
513;VERG˜ DA˜RES˜ ;30.07.2019;25.636,55   ;0,00   ;25.636,55   ;VERG˜/HAR€;˜ž€˜ VERG˜S˜-MUHTASAR;˜ž€˜ VERG˜S˜-MUHTASAR. TEMMUZ 2019;Tem.19;
514;LUKA 2018 LTD;16.08.2019;105,93   ;19,07   ;125,00   ;MALZEME;DEM˜R MALZEME;SAC -6 TABAKA- SOYUNMA ODASI;A§u.19;
515;MAC˜T ALPUTA˜M;16.08.2019;15,90   ;0,00   ;15,90   ;MALZEME;ZšCACC˜YE;KALEM P˜L 8 AD;A§u.19;
516;M˜RA LTD;16.08.2019;46,61   ;8,39   ;55,00   ;TAM˜R/BAKIM;06 AGR 36;S˜REN 1 AD - SEK˜ZL˜ PORTAL;A§u.19;
517;NAZILBE LTD;19.08.2019;61,33   ;11,04   ;72,37   ;D˜¦ER G˜DERLER;GIDA/TEM.MLZ;BULAžIK SšNGER˜-€™P POžET˜-SIVI SABUN;A§u.19;
518;NAZILBE LTD;19.08.2019;67,63   ;12,17   ;79,80   ;D˜¦ER G˜DERLER;GIDA/TEM.MLZ;PET BARDAK 3000, SU 6 AD;A§u.19;
519;REFELARUL˜ HASTANES˜;19.08.2019;60,00   ;0,00   ;60,00   ;D˜¦ER G˜DERLER;SA¦LIK;AZ˜Z PALA MUAYENE šCR. (G™Z);A§u.19;
520;REFELARUL˜ HASTANES˜;19.08.2019;60,00   ;0,00   ;60,00   ;D˜¦ER G˜DERLER;SA¦LIK;AZ˜Z PALA G™Z €APAK €IKARMA šCRET˜;A§u.19;
521;TURSA LTD;19.08.2019;52,37   ;9,43   ;61,80   ;D˜¦ER G˜DERLER;GIDA/TEM.MLZ;€AY 3 KG;A§u.19;
522;BS METAL GRUP;20.08.2019;268,11   ;48,26   ;316,37   ;MALZEME;DEM˜R MALZEME;SAC (100*200*8 mm-70 L˜K PORTAL);A§u.19;
523;˜MED˜ 2010 LTD;20.08.2019;15,00   ;0,00   ;15,00   ;MALZEME;ZšCACC˜YE;PAR€A HALI;A§u.19;
524;GURAM D˜ASAM˜DZE;21.08.2019;100,00   ;0,00   ;100,00   ;MALZEME;ZšCACC˜YE;BAHATT˜N T˜MUR LOJMANA TAVA, TENCERE;A§u.19;
525;E-2010 LTD;21.08.2019;29,83   ;5,37   ;35,20   ;KIRTAS˜YE;KIRTAS˜YE;KLAS™R 6, TELL˜ DOSYA 30, TšKENMEZ 8;A§u.19;
526;KHEV˜ LTD;23.08.2019;21,19   ;3,81   ;25,00   ;D˜¦ER G˜DERLER;D˜¦ER;OKS˜JEN GAZI 1AD;A§u.19;
527;MAGT˜ COM;23.08.2019;34,50   ;0,00   ;34,50   ;˜LET˜ž˜M;˜NTERNET;BAHATT˜N T˜MUR LOJMAN ˜NTERNET ™DEMES˜;A§u.19;
528;˜STANBUL BAZAAR LTD;24.08.2019;100,00   ;0,00   ;100,00   ;MALZEME;ZšCACC˜YE;BAHATT˜NE T˜MUR  BATTAN˜YE, NEVRES˜M TK;A§u.19;
529;MEGA GRUP LTD;26.08.2019;21,60   ;0,00   ;21,60   ;D˜¦ER G˜DERLER;GIDA/TEM.MLZ;OF˜SE SU;A§u.19;
530;UKRAYNA LTD;26.08.2019;88,56   ;15,94   ;104,50   ;D˜¦ER G˜DERLER;YEMEK;POLAT YOL MšHEND˜SLER˜YLE YEMEK;A§u.19;
531;TSULU LTD;28.08.2019;66,63   ;0,00   ;66,63   ;D˜¦ER G˜DERLER;GIDA/TEM.MLZ;OF˜SE KAHVALTILIK, SU VS;A§u.19;
532;YAL€IN MARKET LTD;29.08.2019;74,90   ;0,00   ;74,90   ;D˜¦ER G˜DERLER;GIDA/TEM.MLZ;OF˜SE €AY 4 KG;A§u.19;
533;NAZILBE LTD;29.08.2019;90,14   ;16,23   ;106,37   ;D˜¦ER G˜DERLER;GIDA/TEM.MLZ;žEKER 13,6 KG, KAHVE,PET BARDAK 1700, SIVI SABUN4 LT,PE€ETE 6,K.HAVLU 4,WC KA¦IDI8;A§u.19;
534;˜STANBUL BAZAAR LTD;29.08.2019;40,00   ;0,00   ;40,00   ;MALZEME;ZšCACC˜YE;NEVRES˜M TK 2 AD (TAHS˜N BEY, H. D™LEK);A§u.19;
535;GšRšN LTD;29.08.2019;40,00   ;0,00   ;40,00   ;D˜¦ER G˜DERLER;YEMEK;TAHS˜N BEY, H. D™LEK YEMEK;A§u.19;
536;RAUL KAMADADZE;30.08.2019;46,00   ;0,00   ;46,00   ;D˜¦ER G˜DERLER;GIDA/TEM.MLZ;DAMACANA 6 AD;A§u.19;
537;MAGT˜ COM;31.08.2019;10,00   ;0,00   ;10,00   ;˜LET˜ž˜M;˜NTERNET;591901770 TAHS˜N BEY HATTINA 3 GB ˜NTERNET;A§u.19;
538;MšTEFER˜K HARCAMA;31.08.2019;102,60   ;0,00   ;102,60   ;D˜¦ER G˜DERLER;D˜¦ER;€Ež˜TL˜ žANT˜YE HARCAMALARI ( LOJMAN TEM˜ZLEME šCRET˜-OTOPARK-PERSONELE YEMEK);A§u.19;
539;E-2010 LTD;2.09.2019;2,50   ;0,00   ;2,50   ;MALZEME;HIRDAVAT;MARK™R KALEM 5 AD;Eyl.19;
540;YAL€IN MARKET;2.09.2019;19,27   ;0,00   ;19,27   ;D˜¦ER G˜DERLER;GIDA/TEM.MLZ;OF˜SE SU-TšRK KAHVE;Eyl.19;
541;NAZILBE LTD;4.09.2019;9,30   ;0,00   ;9,30   ;D˜¦ER G˜DERLER;GIDA/TEM.MLZ;OF˜SE SU ;Eyl.19;
542;MODUS˜ LTD;4.09.2019;52,00   ;0,00   ;52,00   ;MALZEME;ZšCACC˜YE;LAST˜KL˜ €ARžAF 2 AD;Eyl.19;
543;NOVA LTD;4.09.2019;116,00   ;0,00   ;116,00   ;MALZEME;HIRDAVAT;KESME TAžI 30 AD -KULAK TIKACI 20 AD;Eyl.19;
544;RO˜N H˜NK˜LADZE;4.09.2019;2,00   ;0,00   ;2,00   ;MALZEME;HIRDAVAT;KALEM P˜L;Eyl.19;
545;TSULU LTD;5.09.2019;9,82   ;0,00   ;9,82   ;D˜¦ER G˜DERLER;GIDA/TEM.MLZ;OF˜SE KAHVALTILIK;Eyl.19;
546;NAZILBE LTD;5.09.2019;72,83   ;0,00   ;72,83   ;D˜¦ER G˜DERLER;GIDA/TEM.MLZ;žEKER 11,HAVLU 4,PET BARDAK, TEM˜ZL˜K MALZ;Eyl.19;
547;YAL€IN MARKET;5.09.2019;154,75   ;0,00   ;154,75   ;D˜¦ER G˜DERLER;GIDA/TEM.MLZ;€AY 5, PET BARDAK 575,F˜NCAN, BARDAK VS;Eyl.19;
548;M˜RA LTD;5.09.2019;65,00   ;0,00   ;65,00   ;TAM˜R/BAKIM;PORTAL V˜N€;PORTAL SW˜TCH, €AY KAZANINA OTOMAT;Eyl.19;
549;RAMZ˜RA VARSHAN˜DZE;6.09.2019;4,30   ;0,00   ;4,30   ;D˜¦ER G˜DERLER;GIDA/TEM.MLZ;DOMATES;Eyl.19;
550;TSULU LTD;6.09.2019;4,37   ;0,00   ;4,37   ;D˜¦ER G˜DERLER;GIDA/TEM.MLZ;PEYN˜R, EKMEK;Eyl.19;
551;BEJO LTD;6.09.2019;5,60   ;0,00   ;5,60   ;D˜¦ER G˜DERLER;YEMEK;™¦LE YEME¦˜ 3 K˜ž˜, EKMEK,DOMATES VS;Eyl.19;
