;;;;;;;;;;
NO;F˜ž/FATURA ADI;TAR˜H;TUTAR;KDV;GEN.TOP.;HARCAMA;HARCAMA C˜NS˜;A€IKLAMA;D™NEM;D™KšLEN BETON
78;ž˜M-AL ˜NžAAT EML.TAAH.DEK.PROJ.TUR.˜H.˜T.T˜C.VE SAN.LTD.žT˜.;3.04.2019;8.081,10   ;0,00   ;8.081,10   ;K˜RA BEDEL˜;K˜RA BEDEL˜;3.000$*2,6904=12 AYLIK K˜RA BEDEL˜ = SARI KAZAN  BUHAR KAZANI + TANSAN RIELLO BUHAR KAZANI + SARI KAZAN SU TANKI 15 TONLUK;Nis.19;
79;BANK OF GEORGIA;22.02.2019;10,00   ;0,00   ;10,00   ;BANKA MASRAF;D˜¦ER;HESAP A€MA šCRET˜;žub.19;
80;BANK OF GEORGIA;22.02.2019;2,00   ;0,00   ;2,00   ;BANKA MASRAF;D˜¦ER;SMS ˜LE B˜LD˜R˜M šCRET˜;žub.19;
81;KETEVAN KAX˜DZE-MUHASEBEC˜ šCRET˜;12.03.2019;250,00   ;0,00   ;250,00   ;VERG˜/HAR€;MUHASEBE;KETEVAN KAX˜DZE-MUHASEBEC˜ šCRET˜;Mar.19;
82;JUNA KITAZBA -AVUKAT šCRET˜;12.03.2019;250,00   ;0,00   ;250,00   ;VERG˜/HAR€;AVUKAT;JUNA KITAZBA -AVUKAT šCRET˜;Mar.19;
83;BANK OF GEORGIA;12.03.2019;1,00   ;0,00   ;1,00   ;BANKA MASRAF;D˜¦ER;BANKA MASRAF-VERG˜ ™DEME KOM˜SYONU;Mar.19;
84;˜ž€˜L˜KLER;28.02.2019;1.290,80   ;0,00   ;1.290,80   ;˜ž€˜L˜K;MAAž;žUBAT 2019 MAAžLAR TOPLAMI;žub.19;
85;ž˜M-AL ˜NžAAT EML.TAAH.DEK.PROJ.TUR.˜H.˜T.T˜C.VE SAN.LTD.žT˜.;5.04.2019;12.913,44   ;0,00   ;12.913,44   ;K˜RA BEDEL˜;K˜RA BEDEL˜;4.800$*2,6904=12 AYLIK K˜RA BEDEL˜ =YšKSAN PORTAL V˜N€-SEK˜ZL˜ PORTAL V˜N€- 12 AYLIK K˜RA BEDEL˜;Nis.19;
86;˜ž€˜L˜KLER;31.03.2019;33.029,04   ;0,00   ;33.029,04   ;˜ž€˜L˜K;MAAž;MART 2019 ˜ž€˜L˜KLER TOPLAMI;Mar.19;
87;ž˜M-AL ˜NžAAT EML.TAAH.DEK.PROJ.TUR.˜H.˜T.T˜C.VE SAN.LTD.žT˜.;17.04.2019;12.075,41   ;0,00   ;12.075,41   ;K˜RA BEDEL˜;K˜RA BEDEL˜;4.488$*2,6904=12 AYLIK K˜RA BEDEL˜=DEM˜R TEZGAHLARI+PREFABR˜K YEMEKHANE+DEM˜R KALDIRMA APARATI+BUHAR BRANDALARI+€EL˜K HALAT SEPET˜+HALAT SšRME MAK˜NES˜;Nis.19;
88;ž˜M-AL ˜NžAAT EML.TAAH.DEK.PROJ.TUR.˜H.˜T.T˜C.VE SAN.LTD.žT˜.;17.04.2019;32.287,20   ;0,00   ;32.287,20   ;K˜RA BEDEL˜;K˜RA BEDEL˜;12.000$*2,6904=12 AYLIK K˜RA BEDEL˜=H˜-UP ( 06 AGR 36 ) + MOB˜L PORTAL V˜N€ ( ELEPHANT );Nis.19;
89;KARABAK LOKANTA;27.03.2019;28,00   ;0,00   ;28,00   ;˜ž€˜L˜K;YEMEK;TAHS˜N BEY, H. D™LEK AKžAM YEME¦˜;Mar.19;
90;BS METAL GRUP;27.03.2019;50,42   ;9,08   ;59,50   ;MALZEME;HIRDAVAT;10' LUK €˜V˜ 25 KG;Mar.19;
91;BS METAL GRUP;29.03.2019;7,15   ;1,29   ;8,44   ;MALZEME;HIRDAVAT;KALIP YA¦LAMA ˜€˜N RULO VE SAP;Mar.19;
92;N˜N˜MA PETROL;29.03.2019;60,00   ;0,00   ;60,00   ;AKARYAKIT;AKARYAKIT;K˜RALIK M˜N˜BšSE MAZOT;Mar.19;
93;BS METAL GRUP;29.03.2019;7,63   ;1,37   ;9,00   ;MALZEME;HIRDAVAT;KALIP YA¦LAMA ˜€˜N RULO;Mar.19;
94;BS METAL GRUP;1.04.2019;8,17   ;1,47   ;9,64   ;MALZEME;HIRDAVAT;7,5 MT žER˜T METRE 1 AD.-€IRPI ˜P˜ 2 AD.;Nis.19;
95;WISOL PETROL;3.04.2019;20,00   ;0,00   ;20,00   ;AKARYAKIT;06 AER 902;DUSTER MAZOT;Nis.19;
96;BS METAL GRUP;4.04.2019;17,71   ;3,19   ;20,90   ;MALZEME;HIRDAVAT;EL VE BAž FENER˜ 1 AD, 3 MT METRE, TEK PR˜Z 1 AD;Nis.19;
97;ADALAET BAKANLI¦I (L˜BERTY BANK);4.04.2019;71,00   ;0,00   ;71,00   ;VERG˜/HAR€;NOTER;ž˜RKET H˜SSE DEVR˜ APOST˜L BEDEL˜;Nis.19;
98;TERCšMAN MALKHAZ BOLKVADZE;5.04.2019;60,00   ;0,00   ;60,00   ;VERG˜/HAR€;HAR€;BUHAR KAZANI TERCšME šCRET˜;Nis.19;
99;MAGT˜ GSM;5.04.2019;10,00   ;0,00   ;10,00   ;˜LET˜ž˜M;TELEFON/˜NTERNET;EREN BAY HATTINA ˜NTERNET YšKLEME;Nis.19;
100;BS METAL GRUP;6.04.2019;26,44   ;4,76   ;31,20   ;MALZEME;HIRDAVAT;10' LUK €˜V˜ 12 KG;Nis.19;
101;EKONOM˜K MARKET;7.04.2019;6,00   ;0,00   ;6,00   ;MALZEME;HIRDAVAT;100 LšK PVC BORU 2 MT;Nis.19;
102;TSULU LTD;7.04.2019;7,10   ;0,00   ;7,10   ;D˜¦ER G˜DERLER;GIDA/TEM.MLZ;PERSONELE ˜€ECEK;Nis.19;
103;BS METAL GRUP;8.04.2019;2,80   ;0,50   ;3,30   ;MALZEME;HIRDAVAT;€IRPI ˜P˜;Nis.19;
